"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Christian McCaffrey (SF)","16","272","1,459","5.4","852","3.1","607","2.2","15","25","-54","65","44","9","4","3","3","72","67","83","16","74"
"2","Raheem Mostert (LV)","15","209","1,012","4.8","547","2.6","465","2.2","16","22","-59","43","30","7","3","2","0","49","25","32","6","61"
"3","Travis Etienne Jr. (JAC)","17","267","1,008","3.8","573","2.1","435","1.6","31","30","-61","62","22","6","3","1","1","62","58","73","2","145"
"4","Kyren Williams (LAR)","12","228","1,144","5.0","685","3.0","459","2.0","23","15","-23","28","26","7","2","1","1","56","32","48","12","47"
"5","Derrick Henry (BAL)","17","280","1,167","4.2","566","2.0","601","2.1","23","27","-62","29","23","5","2","2","2","69","28","36","2","57"
"6","Joe Mixon (HOU)","17","257","1,034","4.0","671","2.6","363","1.4","10","22","-47","14","27","3","1","1","0","44","52","64","13","133"
"7","Breece Hall (NYJ)","17","223","994","4.5","500","2.2","494","2.2","19","31","-72","72","20","7","5","4","3","83","76","95","5","209"
"8","Rachaad White (TB)","17","272","990","3.6","594","2.2","396","1.5","9","17","-40","4","21","3","2","0","0","38","64","70","8","119"
"9","David Montgomery (DET)","14","219","1,015","4.6","511","2.3","504","2.3","17","15","-30","75","22","4","2","2","1","75","16","24","0","30"
"10","Jahmyr Gibbs (DET)","15","182","945","5.2","487","2.7","458","2.5","21","17","-39","27","27","10","4","0","0","36","52","71","7","73"
"11","James Cook (BUF)","17","237","1,122","4.7","640","2.7","482","2.0","8","22","-58","24","33","6","3","1","0","42","44","54","6","103"
"12","Bijan Robinson (ATL)","17","214","976","4.6","568","2.7","408","1.9","15","22","-49","13","30","7","2","0","0","38","58","86","10","100"
"13","Saquon Barkley (PHI)","14","247","962","3.9","480","1.9","482","2.0","12","38","-80","7","26","7","5","0","0","36","41","60","5","38"
"14","Gus Edwards (FA)","17","198","810","4.1","447","2.3","363","1.8","12","13","-25","7","15","6","1","1","0","42","12","13","0","18"
"15","James Conner (ARI)","13","208","1,040","5.0","581","2.8","459","2.2","27","21","-28","29","31","11","2","1","0","44","27","33","5","79"
"16","Kenneth Walker III (SEA)","15","219","905","4.1","559","2.6","346","1.6","22","25","-63","23","24","7","3","1","0","45","29","37","3","146"
"17","Isiah Pacheco (KC)","14","205","935","4.6","550","2.7","385","1.9","15","14","-32","48","20","6","4","1","0","48","44","49","8","42"
"18","Tony Pollard (TEN)","17","252","1,005","4.0","498","2.0","512","2.0","19","28","-70","21","21","6","1","0","0","31","55","67","12","92"
"19","Jerome Ford (CLE)","17","204","813","4.0","446","2.2","367","1.8","26","34","-91","69","23","5","2","2","2","69","44","63","6","88"
"20","Najee Harris (LAC)","17","255","1,035","4.1","415","1.6","620","2.4","30","29","-66","10","24","8","0","0","0","25","29","38","3","49"
"21","De'Von Achane (MIA)","11","103","800","7.8","484","4.7","316","3.1","13","10","-27","76","22","8","5","5","3","76","27","37","6","83"
"22","Brian Robinson Jr. (WAS)","15","178","733","4.1","387","2.2","346","1.9","16","10","-19","15","19","4","0","0","0","29","36","43","5","112"
"23","D'Andre Swift (CHI)","16","229","1,049","4.6","642","2.8","407","1.8","21","23","-54","7","22","6","3","1","0","43","39","49","4","71"
"24","Alvin Kamara (NO)","13","180","694","3.9","407","2.3","287","1.6","7","15","-25","16","15","0","0","0","0","17","75","86","8","138"
"25","Josh Jacobs (GB)","13","233","805","3.5","451","1.9","354","1.5","10","26","-56","63","9","3","2","2","1","63","37","54","6","84"
"26","Chuba Hubbard (CAR)","17","238","902","3.8","467","2.0","435","1.8","17","23","-46","6","21","4","0","0","0","22","39","44","1","66"
"27","Zack Moss (FA)","14","183","794","4.3","449","2.5","345","1.9","4","14","-25","56","19","6","2","2","1","56","27","37","5","60"
"28","Jonathan Taylor (IND)","10","169","741","4.4","287","1.7","454","2.7","14","14","-24","49","23","4","2","2","0","49","19","23","4","29"
"29","Devin Singletary (NYG)","17","216","898","4.2","550","2.5","348","1.6","10","19","-40","11","23","3","0","0","0","34","30","38","4","39"
"30","Jaylen Warren (PIT)","17","149","784","5.3","427","2.9","357","2.4","27","16","-45","74","24","6","1","1","1","74","61","74","5","97"
"31","Austin Ekeler (WAS)","14","179","628","3.5","328","1.8","300","1.7","9","16","-40","3","7","3","2","1","1","55","51","74","9","140"
"32","Javonte Williams (DAL)","16","217","774","3.6","402","1.9","372","1.7","11","25","-55","3","21","2","0","0","0","31","47","58","3","59"
"33","Ezekiel Elliott (FA)","17","184","642","3.5","350","1.9","292","1.6","5","17","-29","6","8","0","0","0","0","17","51","65","4","109"
"34","Tyler Allgeier (ATL)","17","186","683","3.7","320","1.7","363","2.0","15","17","-38","31","13","2","1","0","0","31","18","23","2","35"
"35","Rhamondre Stevenson (NE)","12","156","619","4.0","296","1.9","323","2.1","11","12","-26","64","10","1","1","1","1","64","38","51","4","65"
"36","Aaron Jones Sr. (MIN)","11","142","656","4.6","337","2.4","319","2.2","11","11","-18","3","15","3","1","0","0","39","30","43","10","48"
"37","Kareem Hunt (KC)","15","135","411","3.0","236","1.7","175","1.3","2","13","-18","16","5","0","0","0","0","16","15","21","1","23"
"38","Alexander Mattison (MIA)","16","180","700","3.9","388","2.2","312","1.7","5","25","-53","0","17","1","0","0","0","21","30","44","11","31"
"39","Tyjae Spears (TEN)","17","100","453","4.5","237","2.4","216","2.2","5","12","-28","19","13","3","0","0","0","23","52","70","6","127"
"40","A.J. Dillon (PHI)","15","178","613","3.4","311","1.7","302","1.7","5","15","-39","5","8","1","1","1","0","40","22","28","1","106"
"41","Khalil Herbert (IND)","12","132","611","4.6","329","2.5","282","2.1","13","9","-22","11","13","5","3","0","0","38","20","31","4","26"
"42","Justice Hill (BAL)","16","84","387","4.6","267","3.2","120","1.4","9","6","-11","14","9","2","1","1","0","41","28","39","1","51"
"43","D'Onta Foreman (FA)","9","109","425","3.9","260","2.4","165","1.5","7","11","-35","4","12","1","0","0","0","22","11","16","2","18"
"44","Ty Chandler (MIN)","16","102","461","4.5","279","2.7","182","1.8","3","6","-12","2","9","3","2","0","0","31","21","25","3","41"
"45","Antonio Gibson (NE)","16","65","265","4.1","123","1.9","142","2.2","5","2","-5","2","5","0","0","0","0","16","48","59","5","90"
"46","Jaleel McLaughlin (DEN)","17","76","410","5.4","240","3.2","170","2.2","4","7","-12","5","12","4","2","0","0","38","31","36","5","83"
"47","Rico Dowdle (CAR)","16","89","361","4.1","187","2.1","174","2.0","5","6","-12","1","7","2","0","0","0","21","17","22","4","30"
"48","Zach Charbonnet (SEA)","16","108","462","4.3","253","2.3","209","1.9","10","12","-34","1","16","4","0","0","0","23","33","40","1","57"
"49","Samaje Perine (CIN)","17","53","238","4.5","109","2.1","129","2.4","2","4","-15","3","6","1","0","0","0","24","50","56","2","165"
"50","Dameon Pierce (HOU)","14","145","416","2.9","180","1.2","236","1.6","12","20","-48","3","9","1","0","0","0","22","13","17","1","13"
"51","Roschon Johnson (CHI)","15","81","352","4.3","228","2.8","124","1.5","3","3","-5","2","8","2","0","0","0","29","34","40","4","67"
"52","Kenneth Gainwell (PIT)","16","84","364","4.3","204","2.4","160","1.9","6","5","-12","12","10","3","1","0","0","32","30","37","0","42"
"53","Latavius Murray (FA)","15","79","300","3.8","174","2.2","126","1.6","3","5","-10","4","6","2","0","0","0","29","17","22","3","39"
"54","Keaton Mitchell (BAL)","7","47","396","8.4","238","5.1","158","3.4","7","6","-18","40","12","7","3","2","1","60","9","11","1","12"
"55","Miles Sanders (DAL)","16","129","432","3.3","208","1.6","224","1.7","8","17","-49","1","11","1","1","1","0","48","27","41","2","51"
"56","Jerick McKinnon (FA)","12","21","60","2.9","46","2.2","14","0.7","0","4","-7","7","1","0","0","0","0","10","25","32","5","28"
"57","Zamir White (LV)","15","104","451","4.3","206","2.0","245","2.4","8","7","-15","1","8","2","1","1","0","43","15","19","1","47"
"58","Joshua Kelley (FA)","17","107","405","3.8","216","2.0","189","1.8","6","10","-26","49","10","2","1","1","0","49","8","12","1","6"
"59","Clyde Edwards-Helaire (NO)","15","70","223","3.2","145","2.1","78","1.1","4","8","-17","1","4","1","0","0","0","20","17","22","5","103"
"60","Emari Demercado (ARI)","14","58","284","4.9","166","2.9","118","2.0","2","5","-8","49","5","1","1","1","0","49","21","30","1","14"
"61","Royce Freeman (FA)","11","77","319","4.1","180","2.3","139","1.8","8","5","-15","23","7","1","0","0","0","23","1","2","0","2"
"62","Jamaal Williams (FA)","13","106","306","2.9","156","1.5","150","1.4","3","10","-16","1","5","0","0","0","0","17","18","20","1","17"
"63","Jordan Mason (MIN)","16","40","206","5.2","110","2.8","96","2.4","3","3","-12","26","4","1","0","0","0","26","3","4","0","3"
"64","Elijah Mitchell (KC)","11","75","281","3.7","138","1.8","143","1.9","6","7","-13","2","7","0","0","0","0","18","6","8","1","5"
"65","Chase Brown (CIN)","12","44","179","4.1","52","1.2","127","2.9","2","9","-25","0","5","2","1","0","0","31","14","15","1","43"
"66","Pierre Strong Jr. (CLE)","17","63","291","4.6","133","2.1","158","2.5","5","8","-15","1","7","2","1","1","0","40","5","8","0","32"
"67","Chris Rodriguez Jr. (WAS)","11","51","247","4.8","123","2.4","124","2.4","5","3","-5","12","9","0","0","0","0","16","2","2","0","4"
"68","Cam Akers (NO)","7","60","167","2.8","78","1.3","89","1.5","6","12","-34","6","4","0","0","0","0","19","11","12","2","34"
"69","Michael Carter (ARI)","15","30","187","6.2","128","4.3","59","2.0","1","2","-2","0","6","1","0","0","0","21","24","31","4","19"
"70","Darrell Henderson Jr. (FA)","4","46","112","2.4","45","1.0","67","1.5","1","8","-18","1","1","0","0","0","0","16","10","14","3","33"
"71","Kendre Miller (NO)","8","41","156","3.8","72","1.8","84","2.0","3","1","-4","3","4","0","0","0","0","18","10","11","0","23"
"72","Matt Breida (FA)","15","55","151","2.7","86","1.6","65","1.2","1","4","-15","8","0","0","0","0","0","9","17","21","0","10"
"73","Cordarrelle Patterson (FA)","12","50","181","3.6","92","1.8","89","1.8","2","5","-12","0","5","0","0","0","0","18","9","12","2","10"
"74","Jeff Wilson Jr. (SF)","9","41","188","4.6","104","2.5","84","2.0","1","0","0","0","5","0","0","0","0","15","14","17","1","10"
"75","Salvon Ahmed (IND)","8","22","61","2.8","18","0.8","43","2.0","2","3","-9","9","1","0","0","0","0","10","16","23","5","23"
"76","Chase Edmonds (FA)","13","49","176","3.6","102","2.1","74","1.5","2","5","-22","0","5","1","0","0","0","21","14","17","0","8"
"77","Ty Johnson (BUF)","9","30","132","4.4","68","2.3","64","2.1","1","2","-11","0","2","0","0","0","0","13","7","7","2","11"
"78","Dalvin Cook (FA)","14","67","214","3.2","125","1.9","89","1.3","6","5","-11","0","4","0","0","0","0","14","15","20","0","16"
"79","Tony Jones Jr. (FA)","6","26","95","3.7","56","2.2","39","1.5","1","1","-3","2","3","0","0","0","0","19","7","10","1","8"
"80","D'Ernest Johnson (BAL)","16","41","108","2.6","76","1.9","32","0.8","1","6","-15","0","1","0","0","0","0","19","10","12","0","25"
"81","Craig Reynolds (DET)","15","41","179","4.4","104","2.5","75","1.8","1","2","-4","5","6","0","0","0","0","19","5","5","0","10"
"82","Kyle Juszczyk (SF)","17","5","6","1.2","4","0.8","2","0.4","0","1","-1","0","0","0","0","0","0","3","14","17","5","4"
"83","Darrynton Evans (BUF)","6","32","121","3.8","77","2.4","44","1.4","0","2","-6","11","5","0","0","0","0","13","7","12","2","12"
"84","Ameer Abdullah (SF)","16","15","89","5.9","49","3.3","40","2.7","1","0","0","0","2","0","0","0","0","12","19","24","3","21"
"85","Tank Bigsby (JAC)","16","50","132","2.6","67","1.3","65","1.3","7","7","-15","1","1","0","0","0","0","12","1","4","0","2"
"86","Nick Chubb (HOU)","2","28","170","6.1","100","3.6","70","2.5","2","1","-1","0","6","1","0","0","0","20","4","4","0","6"
"87","Patrick Taylor Jr. (SF)","11","32","141","4.4","71","2.2","70","2.2","4","1","-3","0","4","1","0","0","0","24","11","17","3","4"
"88","Kevin Harris (FA)","4","16","65","4.1","11","0.7","54","3.4","1","1","-2","18","2","0","0","0","0","18","3","3","1","9"
"89","Trey Sermon (PIT)","8","35","160","4.6","61","1.7","99","2.8","4","3","-4","0","3","1","0","0","0","27","3","6","0","3"
"90","Damien Harris (FA)","7","23","94","4.1","51","2.2","43","1.9","2","1","-1","1","1","0","0","0","0","11","2","2","0","3"
"91","Melvin Gordon III (FA)","4","26","81","3.1","29","1.1","52","2.0","1","5","-10","7","2","1","0","0","0","22","3","3","0","5"
"92","Ronnie Rivers (LAR)","9","32","129","4.0","75","2.3","54","1.7","1","2","-2","0","2","0","0","0","0","10","5","5","0","4"
"93","Isaiah Spiller (FA)","9","37","96","2.6","37","1.0","59","1.6","2","3","-5","0","0","0","0","0","0","8","6","6","1","10"
"94","Tyler Goodson (IND)","6","13","87","6.7","58","4.5","29","2.2","0","0","0","0","3","1","1","0","0","31","6","9","3","11"
"95","Alec Ingold (MIA)","17","2","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","13","16","2","12"
"96","Boston Scott (FA)","12","20","86","4.3","53","2.7","33","1.7","3","1","-7","0","2","0","0","0","0","18","4","6","0","3"
"97","Raheem Blackshear (CAR)","11","14","46","3.3","28","2.0","18","1.3","1","1","-1","0","0","0","0","0","0","9","6","7","0","15"
"98","Brandon Bolden (FA)","5","4","31","7.8","28","7.0","3","0.8","0","1","-1","26","1","1","0","0","0","26","0","0","0","0"
"99","La'Mical Perine (FA)","2","22","77","3.5","34","1.5","43","2.0","1","1","-3","0","1","0","0","0","0","10","3","5","0","7"
"100","Emanuel Wilson (GB)","7","14","85","6.1","67","4.8","18","1.3","0","1","-5","0","2","1","1","0","0","31","4","5","0","8"
"101","Chris Brooks (GB)","3","19","106","5.6","26","1.4","80","4.2","2","4","-9","0","2","2","1","1","1","52","0","0","0","0"
"102","Keaontay Ingram (KC)","7","35","74","2.1","33","0.9","41","1.2","3","11","-29","0","4","0","0","0","0","14","4","4","0","4"
"103","Hunter Luepke (DAL)","17","6","19","3.2","6","1.0","13","2.2","0","0","0","3","0","0","0","0","0","9","3","4","0","6"
"104","J.K. Dobbins (DEN)","1","8","22","2.8","18","2.3","4","0.5","0","0","0","4","0","0","0","0","0","4","2","3","1","13"
"105","Israel Abanikanda (GB)","7","22","70","3.2","46","2.1","24","1.1","1","3","-5","0","2","0","0","0","0","12","7","11","0","9"
"106","Nick Bawden (FA)","6","2","4","2.0","1","0.5","3","1.5","0","0","0","1","0","0","0","0","0","3","3","3","0","5"
"107","Dare Ogunbowale (HOU)","10","8","35","4.4","20","2.5","15","1.9","1","0","0","0","1","0","0","0","0","17","2","7","0","0"
"108","Deuce Vaughn (DAL)","7","23","40","1.7","20","0.9","20","0.9","0","5","-10","0","1","0","0","0","0","13","7","7","0","11"
"109","Trayveon Williams (CLE)","16","15","69","4.6","47","3.1","22","1.5","0","2","-3","0","2","0","0","0","0","15","7","9","1","2"
"110","Eric Gray (NYG)","14","17","48","2.8","26","1.5","22","1.3","1","3","-3","0","1","0","0","0","0","12","6","7","0","4"
"111","Gary Brightwell (CIN)","4","9","19","2.1","4","0.4","15","1.7","1","1","-1","0","0","0","0","0","0","5","5","7","0","21"
"112","Mike Boone (MIA)","9","5","23","4.6","16","3.2","7","1.4","0","0","0","0","1","0","0","0","0","11","7","9","0","7"
"113","Damien Williams (FA)","3","11","43","3.9","15","1.4","28","2.5","1","2","-3","0","0","0","0","0","0","9","2","2","0","6"
"114","Ty Montgomery II (FA)","11","3","9","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","7","5","12","1","10"
"115","Ke'Shawn Vaughn (SF)","5","24","42","1.8","22","0.9","20","0.8","4","4","-13","0","0","0","0","0","0","9","2","5","1","0"
"116","Leonard Fournette (FA)","2","12","40","3.3","20","1.7","20","1.7","0","1","-1","0","0","0","0","0","0","9","0","0","0","0"
"117","Rashaad Penny (FA)","3","11","33","3.0","16","1.5","17","1.5","0","1","-2","0","0","0","0","0","0","7","1","1","0","2"
"118","Michael Burton (DEN)","17","7","9","1.3","1","0.1","8","1.1","0","2","-3","0","0","0","0","0","0","4","3","3","1","1"
"119","Sean Tucker (TB)","5","15","23","1.5","11","0.7","12","0.8","1","3","-7","0","0","0","0","0","0","7","2","2","0","1"
"120","C.J. Ham (MIN)","17","1","7","7.0","5","5.0","2","2.0","0","0","0","0","0","0","0","0","0","7","7","9","0","2"
"121","Khari Blasingame (FA)","8","8","26","3.3","11","1.4","15","1.9","0","0","0","0","0","0","0","0","0","6","3","6","1","0"
"122","Derrick Gore (FA)","3","3","26","8.7","22","7.3","4","1.3","0","0","0","0","1","1","0","0","0","23","0","0","0","0"
"123","Jake Funk (FA)","1","2","10","5.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"124","DeeJay Dallas (ARI)","17","10","36","3.6","29","2.9","7","0.7","1","2","-2","0","0","0","0","0","0","8","6","9","0","7"
"125","Tyrion Davis-Price (GB)","1","6","21","3.5","7","1.2","14","2.3","0","1","-4","0","1","0","0","0","0","15","0","0","0","0"
"126","Zonovan Knight (ARI)","2","3","13","4.3","7","2.3","6","2.0","0","0","0","0","0","0","0","0","0","8","1","1","0","1"
"127","Zach Evans (FA)","4","9","19","2.1","5","0.6","14","1.6","1","0","0","0","0","0","0","0","0","5","0","0","0","0"
"128","Elijah Dotson (ATL)","1","4","6","1.5","3","0.8","3","0.8","0","0","0","0","0","0","0","0","0","2","2","2","0","2"
"129","Kene Nwangwu (NYJ)","8","5","13","2.6","8","1.6","5","1.0","0","1","-1","0","0","0","0","0","0","8","0","0","0","0"
"130","Jashaun Corbin (ATL)","3","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","3","3","0","5"
"131","Devine Ozigbo (FA)","1","3","5","1.7","2","0.7","3","1.0","1","1","-3","0","0","0","0","0","0","4","1","1","0","0"
"132","Jonathan Ward (NYG)","2","3","11","3.7","5","1.7","6","2.0","0","0","0","0","0","0","0","0","0","8","0","0","0","0"
"133","Chris Evans (FA)","3","2","12","6.0","7","3.5","5","2.5","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"134","Kenyan Drake (FA)","2","2","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","3","0","10"
"135","Evan Hull (PIT)","1","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"136","Adam Prentice (FA)","6","2","12","6.0","10","5.0","2","1.0","0","0","0","0","0","0","0","0","0","7","2","3","0","0"
"137","James Robinson (FA)","1","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","1","1","0","0"
"138","Jonathan Williams (FA)","1","1","-2","-2.0","0","0.0","0","0.0","0","1","-2","0","0","0","0","0","0","0","0","1","0","0"
"139","Deon Jackson (DET)","2","14","16","1.1","3","0.2","13","0.9","0","2","-5","0","0","0","0","0","0","7","5","6","0","5"
""
""